"stage","stage09","stage15","ch_high","nburn","strata","stat","cc_year","metric","value"
"unburned forest","suppressed","suppressed",NA,0,"Understory","mnl",2015,"cc_01_mnl",-2.9074594012661
"unburned forest","suppressed","suppressed",NA,0,"Understory","sdl",2015,"cc_01_sdl",1.36946669399548
"unburned forest","suppressed","suppressed",NA,0,"Sub-canopy","mnl",2015,"cc_02_mnl",-1.17168379278809
"unburned forest","suppressed","suppressed",NA,0,"Sub-canopy","sdl",2015,"cc_02_sdl",0.640150179683494
"unburned forest","suppressed","suppressed",NA,0,"Canopy","mnl",2015,"cc_08_mnl",-0.918683243340509
"unburned forest","suppressed","suppressed",NA,0,"Canopy","sdl",2015,"cc_08_sdl",1.13060735849845
"once burned early","early","late",1,1,"Understory","mnl",2009,"cc_01_mnl",-1.0238524285018
"once burned early","early","late",1,1,"Understory","sdl",2009,"cc_01_sdl",0.455924457804601
"once burned early","early","late",1,1,"Sub-canopy","mnl",2009,"cc_02_mnl",-1.6229680615414
"once burned early","early","late",1,1,"Sub-canopy","sdl",2009,"cc_02_sdl",0.57719806274376
"once burned early","early","late",1,1,"Canopy","mnl",2009,"cc_08_mnl",-3.36371439959688
"once burned early","early","late",1,1,"Canopy","sdl",2009,"cc_08_sdl",2.27033442409038
"unburned forest","suppressed","suppressed",NA,0,"Understory","mnl",2015,"cc_01_mnl",-4.83291583744159
"unburned forest","suppressed","suppressed",NA,0,"Understory","sdl",2015,"cc_01_sdl",1.51826352362781
"unburned forest","suppressed","suppressed",NA,0,"Sub-canopy","mnl",2015,"cc_02_mnl",-1.78078722790602
"unburned forest","suppressed","suppressed",NA,0,"Sub-canopy","sdl",2015,"cc_02_sdl",0.879797694078628
"unburned forest","suppressed","suppressed",NA,0,"Canopy","mnl",2015,"cc_08_mnl",-0.371338525628587
"unburned forest","suppressed","suppressed",NA,0,"Canopy","sdl",2015,"cc_08_sdl",0.292117082621212
"unburned forest","suppressed","suppressed",NA,0,"Understory","mnl",2015,"cc_01_mnl",-3.34703734951377
"unburned forest","suppressed","suppressed",NA,0,"Understory","sdl",2015,"cc_01_sdl",1.63630203309812
"unburned forest","suppressed","suppressed",NA,0,"Sub-canopy","mnl",2015,"cc_02_mnl",-1.5524354793857
"unburned forest","suppressed","suppressed",NA,0,"Sub-canopy","sdl",2015,"cc_02_sdl",1.02364094370329
"unburned forest","suppressed","suppressed",NA,0,"Canopy","mnl",2015,"cc_08_mnl",-1.20657549650879
"unburned forest","suppressed","suppressed",NA,0,"Canopy","sdl",2015,"cc_08_sdl",1.69743405925027
"once burned forest","late","late",0,1,"Understory","mnl",2009,"cc_01_mnl",-1.97669520665211
"once burned forest","late","late",0,1,"Understory","sdl",2009,"cc_01_sdl",1.3467564101099
"once burned forest","late","late",0,1,"Sub-canopy","mnl",2009,"cc_02_mnl",-1.85465247887976
"once burned forest","late","late",0,1,"Sub-canopy","sdl",2009,"cc_02_sdl",1.17714486143666
"once burned forest","late","late",0,1,"Canopy","mnl",2009,"cc_08_mnl",-1.50909981568576
"once burned forest","late","late",0,1,"Canopy","sdl",2009,"cc_08_sdl",1.91896818118896
"once burned early","early","early",0,1,"Understory","mnl",2009,"cc_01_mnl",-4.76328757858965
"once burned early","early","early",0,1,"Understory","sdl",2009,"cc_01_sdl",1.43542250049326
"once burned early","early","early",0,1,"Sub-canopy","mnl",2009,"cc_02_mnl",-4.43899601730421
"once burned early","early","early",0,1,"Sub-canopy","sdl",2009,"cc_02_sdl",1.62765399867441
"once burned early","early","early",0,1,"Canopy","mnl",2009,"cc_08_mnl",-4.21422829639113
"once burned early","early","early",0,1,"Canopy","sdl",2009,"cc_08_sdl",2.27476606025492
"recovering","early","early",0,2,"Understory","mnl",2015,"cc_01_mnl",-5.32317188549744
"recovering","early","early",0,2,"Understory","sdl",2015,"cc_01_sdl",1.27102782246517
"recovering","early","early",0,2,"Sub-canopy","mnl",2015,"cc_02_mnl",-5.38877115606562
"recovering","early","early",0,2,"Sub-canopy","sdl",2015,"cc_02_sdl",1.55984327176705
"recovering","early","early",0,2,"Canopy","mnl",2015,"cc_08_mnl",-5.41063943338114
"recovering","early","early",0,2,"Canopy","sdl",2015,"cc_08_sdl",2.050958189555
"once burned early","early","early",1,1,"Understory","mnl",2009,"cc_01_mnl",-2.67809513805
