"stage","strata","stat","mean_dens","mean","sd","prob_pos","prob_neg"
"early","Understory","mn",0.206,-1.58,1.12,0,1
"late","Understory","mn",0.0483,-3.03,1.02,0,1
"early","Understory","sd",2.89,1.06,0.369,1,0
"late","Understory","sd",4.4,1.48,0.303,1,0
"early","Sub-canopy","mn",0.0285,-3.56,1.02,0.854,0.146
"late","Sub-canopy","mn",0.0297,-3.52,0.757,0.854,0.146
"early","Sub-canopy","sd",2.73,1,0.238,1,0
"late","Sub-canopy","sd",2.98,1.09,0.225,1,0
"early","Canopy","mn",0.00282,-5.87,0.438,1,0
"late","Canopy","mn",0.00899,-4.71,0.615,1,0
"early","Canopy","sd",2.35,0.855,0.205,1,0
"late","Canopy","sd",2.76,1.01,0.164,1,0
"early","Understory","mn",0.0289,-3.54,1.2,0.94,0.0595
"early-mid","Understory","mn",0.0388,-3.25,1.33,0.94,0.0595
"early","Understory","sd",4.69,1.55,0.306,0.259,0.741
"early-mid","Understory","sd",4.56,1.52,0.34,0.259,0.741
"early","Sub-canopy","mn",0.0031,-5.78,0.761,1,0
"early-mid","Sub-canopy","mn",0.00531,-5.24,0.823,1,0
"early","Sub-canopy","sd",2.46,0.9,0.274,1,0
"early-mid","Sub-canopy","sd",3.41,1.23,0.237,1,0
"early","Canopy","mn",0.00134,-6.61,0.315,1,0
"early-mid","Canopy","mn",0.00194,-6.24,0.445,1,0
"early","Canopy","sd",1.68,0.518,0.321,1,0
"early-mid","Canopy","sd",2.39,0.872,0.32,1,0
"late","Understory","mn",0.0483,-3.03,1.02,0.027,0.973
"suppressed","Understory","mn",0.0432,-3.14,0.646,0.027,0.973
"late","Understory","sd",4.4,1.48,0.303,0,1
"suppressed","Understory","sd",3.34,1.21,0.208,0,1
"late","Sub-canopy","mn",0.0297,-3.52,0.757,1,0
"suppressed","Sub-canopy","mn",0.0569,-2.87,0.351,1,0
"late","Sub-canopy","sd",2.98,1.09,0.225,0,1
"suppressed","Sub-canopy","sd",2.28,0.824,0.254,0,1
"late","Canopy","mn",0.00899,-4.71,0.615,1,0
"suppressed","Canopy","mn",0.017,-4.07,0.441,1,0
"late","Canopy","sd",2.76,1.01,0.164,0,1
"suppressed","Canopy","sd",2.1,0.741,0.252,0,1
