"id","st_stage","ch_stage","FID","year","burn","nburn","metric","value","strata","stat"
"0_1","early","early",0,2009,1,1,"lad_01_mn",0.0293840652915005,"Understory","mn"
"0_1","early","early",0,2009,1,1,"lad_01_sd",0.504842064436512,"Understory","sd"
"0_1","early","early",0,2009,1,1,"lad_02_mn",-2.4876246735296,"Sub-canopy","mn"
"0_1","early","early",0,2009,1,1,"lad_02_sd",0.652419956548347,"Sub-canopy","sd"
"0_1","early","early",0,2009,1,1,"lad_08_mn",-5.70423666272429,"Canopy","mn"
"0_1","early","early",0,2009,1,1,"lad_08_sd",1.10485516473605,"Canopy","sd"
"1_0","suppressed","suppressed",1,2015,0,0,"lad_01_mn",-3.51811615823586,"Understory","mn"
"1_0","suppressed","suppressed",1,2015,0,0,"lad_01_sd",1.20528611901225,"Understory","sd"
"1_0","suppressed","suppressed",1,2015,0,0,"lad_02_mn",-2.79264199913244,"Sub-canopy","mn"
"1_0","suppressed","suppressed",1,2015,0,0,"lad_02_sd",0.705638890672806,"Sub-canopy","sd"
"1_0","suppressed","suppressed",1,2015,0,0,"lad_08_mn",-3.78638381375558,"Canopy","mn"
"1_0","suppressed","suppressed",1,2015,0,0,"lad_08_sd",0.549620371986755,"Canopy","sd"
"1_1","late","late",NA,NA,NA,NA,"lad_01_mn",NA,"Understory","mn"
"1_1","late","late",NA,NA,NA,NA,"lad_01_sd",NA,"Understory","sd"
"1_1","late","late",NA,NA,NA,NA,"lad_02_mn",NA,"Sub-canopy","mn"
"1_1","late","late",NA,NA,NA,NA,"lad_02_sd",NA,"Sub-canopy","sd"
"1_1","late","late",NA,NA,NA,NA,"lad_08_mn",NA,"Canopy","mn"
"1_1","late","late",NA,NA,NA,NA,"lad_08_sd",NA,"Canopy","sd"
"10_0","suppressed","suppressed",10,2015,0,0,"lad_01_mn",-2.64842880049409,"Understory","mn"
"10_0","suppressed","suppressed",10,2015,0,0,"lad_01_sd",1.35771168692912,"Understory","sd"
"10_0","suppressed","suppressed",10,2015,0,0,"lad_02_mn",-2.4488268824361,"Sub-canopy","mn"
"10_0","suppressed","suppressed",10,2015,0,0,"lad_02_sd",0.837919182663224,"Sub-canopy","sd"
"10_0","suppressed","suppressed",10,2015,0,0,"lad_08_mn",-4.24718408476423,"Canopy","mn"
"10_0","suppressed","suppressed",10,2015,0,0,"lad_08_sd",0.984086533536803,"Canopy","sd"
"10_1","late","late",10,2009,1,1,"lad_01_mn",-1.25516694514149,"Understory","mn"
"10_1","late","late",10,2009,1,1,"lad_01_sd",1.51360844979605,"Understory","sd"
"10_1","late","late",10,2009,1,1,"lad_02_mn",-2.56405255827086,"Sub-canopy","mn"
"10_1","late","late",10,2009,1,1,"lad_02_sd",0.901283720889366,"Sub-canopy","sd"
"10_1","late","late",10,2009,1,1,"lad_08_mn",-4.61190738583413,"Canopy","mn"
"10_1","late","late",10,2009,1,1,"lad_08_sd",1.26702764740484,"Canopy","sd"
"100_1","early","early-mid",100,2009,1,1,"lad_01_mn",-4.2809971562979,"Understory","mn"
"100_1","early","early-mid",100,2009,1,1,"lad_01_sd",1.93408927481237,"Understory","sd"
"100_1","early","early-mid",100,2009,1,1,"lad_02_mn",-5.31160851529107,"Sub-canopy","mn"
"100_1","early","early-mid",100,2009,1,1,"lad_02_sd",1.42422941251691,"Sub-canopy","sd"
"100_1","early","early-mid",100,2009,1,1,"lad_08_mn",-6.2603029207846,"Canopy","mn"
"100_1","early","early-mid",100,2009,1,1,"lad_08_sd",0.902352676307876,"Canopy","sd"
"100_1","early","early-mid",100,2015,1,2,"lad_01_mn",-4.85216521356438,"Understory","mn"
"100_1","early","early-mid",100,2015,1,2,"lad_01_sd",1.61607137508243,"Understory","sd"
"100_1","early","early-mid",100,2015,1,2,"lad_02_mn",-6.0111249033187,"Sub-canopy","mn"
"100_1","early","early-mid",100,2015,1,2,"lad_02_sd",1.18374465307308,"Sub-canopy","sd"
"100_1","early","early-mid",100,2015,1,2,"lad_08_mn",-6.56114187011796,"Canopy","mn"
"100_1","early","early-mid",100,2015,1,2,"lad_08_sd",0.696212030305081,"Canopy","sd"
"1000_1","early","early",1000,2015,1,2,"lad_01_mn",-2.69464815286408,"Understory","mn"
"1000_1","early","early",1000,2015,1,2,"lad_01_sd",1.57968872081642,"Understory","sd"
"1000_1","early","early",1000,2015,1,2,"lad_02_mn",-6.24790780795323,"Sub-canopy","mn"
"1000_1","early","early",1000,2015,1,2,"lad_02_sd",0.635226621919097,"Sub-canopy","sd"
"1000_1","early","early",1000,2015,1,2,"lad_08_mn",-6.86583833825703,"Canopy","mn"
"1000_1","early","early",1000,2015,1,2,"lad_08_sd",0.16632529295023,"Canopy","sd"
"1000_1","early","early",1000,2009,1,1,"lad_01_mn",-2.61591550457092,"Understory","mn"
"1000_1","early","early",1000,2009,1,1,"lad_01_sd",1.51669182769271,"Understory","sd"
"1000_1","early","early",1000,2009,1,1,"lad_02_mn",-4.77639821790231,"Sub-canopy","mn"
"1000_1","early","early",1000,2009,1,1,"lad_02_sd",0.648467692635226,"Sub-canopy","sd"
"1000_1","early","early",1000,2009,1,1,"lad_08_mn",-6.28318883422526,"Canopy","mn"
"1000_1","early","early",1000,2009,1,1,"lad_08_sd",0.538212045164374,"Canopy","sd"
"1001_1","early","early",1001,2009,1,1,"lad_01_mn",-2.89249791637809,"Understory","mn"
"1001_1","early","early",1001,2009,1,1,"lad_01_sd",1.31735961030852,"Understory","sd"
"1001_1","early","early",1001,2009,1,1,"lad_02_mn",-4.95133109326921,"Sub-canopy","mn"
"1001_1","early","early",1001,2009,1,1,"lad_02_sd",0.588085370622998,"Sub-canopy","sd"
"1001_1","early","early",1001,2009,1,1,"lad_08_mn",-6.19753766700425,"Canopy","mn"
"1001_1","early","early",1001,2009,1,1,"lad_08_sd",0.562530747250284,"Canopy","sd"
"1001_1","early","early",1001,2015,1,2,"lad_01_mn",-2.53824493679066,"Understory","mn"
"1001_1","early","early",1001,2015,1,2,"lad_01_sd",1.29856213692547,"Understory","sd"
"1001_1","early","early",1001,2015,1,2,"lad_02_mn",-6.32901075360726,"Sub-canopy","mn"
"1001_1","early","early",1001,2015,1,2,"lad_02_sd",0.53194237801114,"Sub-canopy","sd"
"1001_1","early","early",1001,2015,1,2,"lad_08_mn",-6.83032641132189,"Canopy","mn"
"1001_1","early","early",1001,2015,1,2,"lad_08_sd",0.316629923446044,"Canopy","sd"
"1002_1","early","early",1002,2009,1,1,"lad_01_mn",-0.790006069818068,"Understory","mn"
"1002_1","early","early",1002,2009,1,1,"lad_01_sd",0.866142848458206,"Understory","sd"
"1002_1","early","early",1002,2009,1,1,"lad_02_mn",-4.63412788822384,"Sub-canopy","mn"
"1002_1","early","early",1002,2009,1,1,"lad_02_sd",0.58422090171163,"Sub-canopy","sd"
"1002_1","early","early",1002,2009,1,1,"lad_08_mn",-6.23592630165098,"Canopy","mn"
"1002_1","early","early",1002,2009,1,1,"lad_08_sd",0.467690554053606,"Canopy","sd"
"1003_1","early","early",1003,2009,1,1,"lad_01_mn",-1.08296054040258,"Understory","mn"
"1003_1","early","early",1003,2009,1,1,"lad_01_sd",1.09962649887568,"Understory","sd"
"1003_1","early","early",1003,2009,1,1,"lad_02_mn",-4.60161578135581,"Sub-canopy","mn"
"1003_1","early","early",1003,2009,1,1,"lad_02_sd",0.689648390808651,"Sub-canopy","sd"
"1003_1","early","early",1003,2009,1,1,"lad_08_mn",-6.35632847224241,"Canopy","mn"
"1003_1","early","early",1003,2009,1,1,"lad_08_sd",0.614401818586012,"Canopy","sd"
"1004_1","early","early",1004,2009,1,1,"lad_01_mn",-1.86696777258409,"Understory","mn"
"1004_1","early","early",1004,2009,1,1,"lad_01_sd",1.54079187172469,"Understory","sd"
"1004_1","early","early",1004,2009,1,1,"lad_02_mn",-4.19205371436294,"Sub-canopy","mn"
"1004_1","early","early",1004,2009,1,1,"lad_02_sd",0.866763236420866,"Sub-canopy","sd"
"1004_1","early","early",1004,2009,1,1,"lad_08_mn",-5.94282043498418,"Canopy","mn"
"1004_1","early","early",1004,2009,1,1,"lad_08_sd",0.915349143923664,"Canopy","sd"
"1005_1","early","early-mid",1005,2009,1,1,"lad_01_mn",-0.737393696799707,"Understory","mn"
"1005_1","early","early-mid",1005,2009,1,1,"lad_01_sd",0.967564823004342,"Understory","sd"
"1005_1","early","early-mid",1005,2009,1,1,"lad_02_mn",-3.18043742257845,"Sub-canopy","mn"
"1005_1","early","early-mid",1005,2009,1,1,"lad_02_sd",0.923509449800885,"Sub-canopy","sd"
"1005_1","early","early-mid",1005,2009,1,1,"lad_08_mn",-5.94933392860353,"Canopy","mn"
"1005_1","early","early-mid",1005,2009,1,1,"lad_08_sd",0.776813561082591,"Canopy","sd"
"1006_1","early","early-mid",1006,2009,1,1,"lad_01_mn",-1.40725535569815,"Understory","mn"
"1006_1","early","early-mid",1006,2009,1,1,"lad_01_sd",1.02901762310662,"Understory","sd"
"1006_1","early","early-mid",1006,2009,1,1,"lad_02_mn",-3.31572033297603,"Sub-canopy","mn"
"1006_1","early","early-mid",1006,2009,1,1,"lad_02_sd",0.999214556890695,"Sub-canopy","sd"
"1006_1","early","early-mid",1006,2009,1,1,"lad_08_mn",-5.79714463476432,"Canopy","mn"
"1006_1","early","early-mid",1006,2009,1,1,"lad_08_sd",0.805387957128697,"Canopy","sd"
"1007_1","early","early",1007,2009,1,1,"lad_01_mn",-0.890395994675849,"Understory","mn"
"1007_1","early","early",1007,2009,1,1,"lad_01_sd",0.811136972595799,"Understory","sd"
"1007_1","early","early",1007,2009,1,1,"lad_02_mn",-2.62644259621121,"Sub-canopy","mn"
"1007_1","early","early",1007,2009,1,1,"lad_02_sd",0.760534746781733,"Sub-canopy","sd"
"1007_1","early","early",1007,2009,1,1,"lad_08_mn",-5.60190914814318,"Canopy","mn"
"1007_1","early","early",1007,2009,1,1,"lad_08_sd",0.737753467536068,"Canopy","sd"
"1008_1","late","late",1008,2009,1,1,"lad_01_mn",-1.26817405813673,"Understory","mn"
"1008_1","late","late",1008,2009,1,1,"lad_01_sd",0.829703285351915,"Understory","sd"
"1008_1","late","late",1008,2009,1,1,"lad_02_mn",-2.40122976086918,"Sub-canopy","mn"
"1008_1","late","late",1008,2009,1,1,"lad_02_sd",0.825766575397541,"Sub-canopy","sd"
"1008_1","late","late",1008,2009,1,1,"lad_08_mn",-5.42650198960824,"Canopy","mn"
"1008_1","late","late",1008,2009,1,1,"lad_08_sd",0.962115939578987,"Canopy","sd"
"1009_1","late","late",1009,2009,1,1,"lad_01_mn",-1.53329323817544,"Understory","mn"
"1009_1","late","late",1009,2009,1,1,"lad_01_sd",0.942002527343468,"Understory","sd"
"1009_1","late","late",1009,2009,1,1,"lad_02_mn",-2.24668629105176,"Sub-canopy","mn"
"1009_1","late","late",1009,2009,1,1,"lad_02_sd",0.788438846811312,"Sub-canopy","sd"
"1009_1","late","late",1009,2009,1,1,"lad_08_mn",-4.52826176869131,"Canopy","mn"
"1009_1","late","late",1009,2009,1,1,"lad_08_sd",0.94244785291382,"Canopy","sd"
"101_1","late","late",101,2015,1,2,"lad_01_mn",-2.63390302248773,"Understory","mn"
"101_1","late","late",101,2015,1,2,"lad_01_sd",2.00967682994237,"Understory","sd"
"101_1","late","late",101,2015,1,2,"lad_02_mn",-3.73731345852957,"Sub-canopy","mn"
"101_1","late","late",101,2015,1,2,"lad_02_sd",2.11842813467748,"Sub-canopy","sd"
"101_1","late","late",101,2015,1,2,"lad_08_mn",-6.31342675585417,"Canopy","mn"
"101_1","late","late",101,2015,1,2,"lad_08_sd",0.934061075697499,"Canopy","sd"
"1010_1","early","early-mid",1010,2009,1,1,"lad_01_mn",-0.973509498033303,"Understory","mn"
"1010_1","early","early-mid",1010,2009,1,1,"lad_01_sd",0.839955795499074,"Understory","sd"
